Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
"If a train travels 60 km in 40 minutes, what is its speed in km/h?","60 km/h","75 km/h","90 km/h","100 km/h","C"
"Find the next number in the series: 2, 6, 12, 20, 30, ?","40","42","44","48","B"
"A's salary is 20% more than B's salary. If B's salary is $5000, what is A's salary?","$5500","$6000","$6500","$7000","B"
"In how many ways can 5 books be arranged on a shelf?","60","120","240","720","B"
"If 15 workers can complete a job in 10 days, how many days will 25 workers take?","4 days","5 days","6 days","8 days","C"
"What is the compound interest on $10000 at 10% per annum for 2 years?","$2000","$2100","$2200","$2500","B"
"A square has a perimeter of 40 cm. What is its area?","80 cm²","100 cm²","120 cm²","160 cm²","B"
"If the ratio of boys to girls in a class is 3:2 and there are 45 students, how many boys are there?","18","21","27","30","C"
"A can complete a task in 15 days and B can complete it in 20 days. How long will they take working together?","6 days","7.5 days","8.57 days","10 days","C"
"If a number is increased by 25% and then decreased by 20%, what is the net change percentage?","0%","5%","10%","-5%","A"
"The average of 5 numbers is 20. If one number is removed, the average becomes 18. What is the removed number?","24","26","28","30","C"
"A rectangle has length twice its width. If the perimeter is 60 cm, what is its area?","100 cm²","150 cm²","200 cm²","250 cm²","C"
"In a bag of 20 marbles, 8 are red, 7 are blue, and 5 are green. What is the probability of drawing a blue marble?","7/20","8/20","5/20","9/20","A"
"If 3x + 5 = 20, what is the value of x?","3","4","5","6","C"
"A shop offers a 15% discount on a product. If the discounted price is $850, what was the original price?","$950","$1000","$1050","$1100","B"
"The sum of three consecutive odd numbers is 63. What is the largest number?","19","21","23","25","C"
"If a person walks 4 km north and then 3 km east, what is the straight-line distance from the starting point?","5 km","6 km","7 km","8 km","A"
"A tank can be filled by pipe A in 4 hours and by pipe B in 6 hours. How long will it take to fill the tank if both pipes are open?","2 hours","2.4 hours","3 hours","3.5 hours","B"
"If the cost price of 12 oranges equals the selling price of 10 oranges, what is the profit percentage?","10%","15%","20%","25%","C"
"The average age of 6 people increases by 2 years when a new person joins. What is the age of the new person if the original average was 30?","36","38","42","44","C"