Question,Type
"Tell me about yourself and your background.","behavioral"
"Why do you want to join our company?","behavioral"
"What are your greatest strengths?","behavioral"
"What is your biggest weakness?","behavioral"
"Tell me about a time you showed leadership.","behavioral"
"Describe a situation where you failed and what you learned.","behavioral"
"How do you handle conflicts in a team?","behavioral"
"Tell me about a challenging project you worked on.","behavioral"
"Where do you see yourself in 5 years?","career"
"Why should we hire you?","behavioral"
"How do you handle stress and pressure?","behavioral"
"Describe a time when you had to learn something new quickly.","behavioral"
"Tell me about a time you disagreed with your manager.","behavioral"
"How do you prioritize tasks when you have multiple deadlines?","behavioral"
"What motivates you in your work?","career"
"Describe a time when you went above and beyond.","behavioral"
"How do you handle criticism?","behavioral"
"Tell me about a time you worked in a difficult team.","behavioral"
"What is your approach to problem-solving?","technical"
"How do you stay updated with industry trends?","career"